customerID,tenure,MonthlyCharges,Contract,InternetService,Churn,NumServices,ContractMonths,uplift_X_T_MonthToMonth,Churn_Probability,Risk_Level,segment
7590-VHVEG,1,29.85,Month-to-month,DSL,0,1,1,0.0966976775418543,0.07368632368354172,Low,Sure Thing
5575-GNVDE,34,56.95,One year,DSL,0,2,12,-0.0153344096546407,0.014062545752664942,Low,Sleeping Dog
3668-QPYBK,2,53.85,Month-to-month,DSL,1,2,1,-0.0489910386404601,0.005343028631624981,Low,Sleeping Dog
7795-CFOCW,45,42.3,One year,DSL,0,3,12,-0.1507321285203929,0.008857089779201173,Low,Sleeping Dog
9237-HQITU,2,70.7,Month-to-month,Fiber optic,1,0,1,-0.1023665415119428,0.04585747854731431,Low,Sleeping Dog
9305-CDSKC,8,99.65,Month-to-month,Fiber optic,1,3,1,-0.1241052458807,0.0070549369279832505,Low,Sleeping Dog
1452-KIOVK,22,89.1,Month-to-month,Fiber optic,0,2,1,-0.1495900298800166,0.6671321966770661,High,Lost Cause
6713-OKOMC,10,29.75,Month-to-month,DSL,0,1,1,0.2479050685117646,0.2524735887904736,Low,Sure Thing
7892-POOKP,28,104.8,Month-to-month,Fiber optic,1,4,1,-0.1497639555156823,0.0012312622976028828,Low,Sleeping Dog
6388-TABGU,62,56.15,One year,DSL,0,2,12,-0.0575610992438695,0.20190654605027744,Low,Sleeping Dog
9763-GRSKD,13,49.95,Month-to-month,DSL,0,1,1,-0.0496075958682099,0.19628874497877666,Low,Sleeping Dog
7469-LKBCI,16,18.95,Two year,No,0,0,24,0.3106788684889788,0.7213891065233687,High,Persuadable
8091-TTVAX,58,100.35,One year,Fiber optic,0,3,12,-0.1434727003399177,0.06295042070193228,Low,Sleeping Dog
0280-XJGEX,49,103.7,Month-to-month,Fiber optic,1,4,1,-0.2235060519926404,0.13492784015220136,Low,Sleeping Dog
5129-JLPIS,25,105.5,Month-to-month,Fiber optic,0,5,1,-0.1497639555156823,0.022828568126799297,Low,Sleeping Dog
3655-SNQYZ,69,113.25,Two year,Fiber optic,0,6,24,0.1547232589241218,0.357253030824572,Medium,Persuadable
8191-XWSZG,52,20.65,One year,No,0,0,12,0.3014756659550562,0.6626005942106542,High,Persuadable
9959-WOFKT,71,106.7,Two year,Fiber optic,0,4,24,0.2081905560646327,0.029249140621872602,Low,Sure Thing
4190-MFLUW,10,55.2,Month-to-month,DSL,1,2,1,-0.0429225213336422,0.0370088060897583,Low,Sleeping Dog
4183-MYFRB,21,90.05,Month-to-month,Fiber optic,0,3,1,-0.1495900298800166,0.4591306129974208,Medium,Lost Cause
8779-QRDMV,1,39.65,Month-to-month,DSL,1,2,1,-0.3322638787828313,0.20322700823163442,Low,Sleeping Dog
1680-VDCWW,12,19.8,One year,No,0,0,12,0.2971134563466525,0.017181786276163912,Low,Sure Thing
1066-JKSGK,1,20.15,Month-to-month,No,1,0,1,0.278060819952042,0.001901295049785441,Low,Sure Thing
3638-WEABW,58,59.9,Two year,DSL,0,2,24,-0.0303063541897525,0.00912882318846977,Low,Sleeping Dog
6322-HRPFA,49,59.6,Month-to-month,DSL,0,3,1,-0.0304446781865736,0.7116333425547802,High,Lost Cause
6865-JZNKO,30,55.3,Month-to-month,DSL,0,2,1,-0.0657294065981742,0.5852537920875198,Medium,Lost Cause
6467-CHFZW,47,99.35,Month-to-month,Fiber optic,1,3,1,-0.1283624318079849,0.7071579780942999,High,Lost Cause
8665-UTDHZ,1,30.2,Month-to-month,DSL,1,1,1,-0.4738723687144244,0.0016206148285817623,Low,Sleeping Dog
5248-YGIJN,72,90.25,Two year,DSL,0,6,24,-0.068941026666363,0.04749222901873947,Low,Sleeping Dog
8773-HHUOZ,17,64.7,Month-to-month,DSL,1,2,1,-0.0464221368511466,0.7154827663943792,High,Lost Cause
3841-NFECX,71,96.35,Two year,Fiber optic,0,4,24,-0.0844929498556276,0.2221248274822215,Low,Sleeping Dog
4929-XIHVW,2,95.5,Month-to-month,Fiber optic,0,3,1,0.0773433373065791,0.010179854782238769,Low,Sure Thing
6827-IEAUQ,27,66.15,One year,DSL,0,4,12,-0.0636810894932372,0.17852550013659518,Low,Sleeping Dog
7310-EGVHZ,1,20.2,Month-to-month,No,0,0,1,0.278060819952042,0.07942902523285615,Low,Sure Thing
3413-BMNZE,1,45.25,Month-to-month,DSL,0,0,1,-0.1340528840520785,0.6244005333380968,High,Lost Cause
6234-RAAPL,72,99.9,Two year,Fiber optic,0,4,24,-0.0679258736079587,0.3728806487948759,Medium,Lost Cause
6047-YHPVI,5,69.7,Month-to-month,Fiber optic,1,0,1,-0.1495983281419811,0.03130754173074147,Low,Sleeping Dog
6572-ADKRS,46,74.8,Month-to-month,Fiber optic,0,1,1,-0.155834453108037,0.010812465485087089,Low,Sleeping Dog
5380-WJKOV,34,106.35,Month-to-month,Fiber optic,1,4,1,-0.1972611931234846,0.35930703590782076,Medium,Lost Cause
8168-UQWWF,11,97.85,Month-to-month,Fiber optic,1,3,1,-0.0703609299668033,0.0026621047759878614,Low,Sleeping Dog
8865-TNMNX,10,49.55,One year,DSL,0,1,12,-0.0549774751715577,0.019418031386076593,Low,Sleeping Dog
9489-DEDVP,70,69.2,Two year,DSL,0,3,24,-0.0344107116836984,0.47998767688480576,Medium,Lost Cause
9867-JCZSP,17,20.75,One year,No,0,0,12,0.3080748297183739,0.2929360465351179,Low,Sure Thing
4671-VJLCL,63,79.85,Two year,DSL,0,5,24,-0.1392562601674915,0.01317830086030624,Low,Sleeping Dog
4080-IIARD,13,76.2,Month-to-month,DSL,0,4,1,-0.1835252186563282,0.0073013399511883,Low,Sleeping Dog
3714-NTNFO,49,84.5,Month-to-month,Fiber optic,0,1,1,-0.1543037125018716,0.5728126509064239,Medium,Lost Cause
5948-UJZLF,2,49.25,Month-to-month,DSL,0,1,1,-0.0610459924783757,0.6260232182421298,High,Lost Cause
7760-OYPDY,2,80.65,Month-to-month,Fiber optic,1,1,1,-0.0242949976125432,0.6346339092377596,High,Lost Cause
7639-LIAYI,52,79.75,Two year,DSL,0,4,24,-0.1508548238658658,0.7243435993070606,High,Lost Cause
2954-PIBKO,69,64.15,Two year,DSL,0,3,24,-0.0019232938436765,0.0071817901249268375,Low,Sleeping Dog
8012-SOUDQ,43,90.25,Month-to-month,Fiber optic,0,2,1,-0.1724720328848779,0.0022075202389064837,Low,Sleeping Dog
9420-LOJKX,15,99.1,Month-to-month,Fiber optic,1,4,1,-0.1451353854304868,0.5694970016997506,Medium,Lost Cause
6575-SUVOI,25,69.5,Month-to-month,DSL,0,3,1,-0.155418884173906,0.4419915879026106,Medium,Lost Cause
7495-OOKFY,8,80.65,Month-to-month,Fiber optic,1,1,1,-0.1844270962853715,0.5752613564955394,Medium,Lost Cause
4667-QONEA,60,74.85,One year,DSL,0,5,12,-0.1130550426212951,0.5929866616829428,Medium,Lost Cause
1658-BYGOY,18,95.45,Month-to-month,Fiber optic,1,2,1,-0.1536496898371672,0.02871520684918157,Low,Sleeping Dog
8769-KKTPH,63,99.65,One year,Fiber optic,0,3,12,-0.1318741366415435,0.8690224572402729,High,Lost Cause
5067-XJQFU,66,108.45,One year,Fiber optic,0,5,12,0.0684077673382492,0.8898894082644498,High,Persuadable
3957-SQXML,34,24.95,Two year,No,0,0,24,0.3248477833408759,0.003230508574430755,Low,Sure Thing
5954-BDFSG,72,107.5,Two year,Fiber optic,0,4,24,0.0266049899643003,0.11273174471915327,Low,Sure Thing
0434-CSFON,47,100.5,Month-to-month,Fiber optic,0,3,1,0.0328765578132841,0.5280929448154733,Medium,Persuadable
1215-FIGMP,60,89.9,Month-to-month,Fiber optic,0,2,1,-0.1328892896999479,0.6526976397797534,High,Lost Cause
0526-SXDJP,72,42.1,Two year,DSL,0,3,24,-0.1339240510612141,0.7798479179404155,High,Lost Cause
0557-ASKVU,18,54.4,One year,DSL,0,2,12,-0.0375526420302944,0.5737876261792726,Medium,Lost Cause
5698-BQJOH,9,94.4,Month-to-month,Fiber optic,1,2,1,-0.1947171429797015,0.00904556485625272,Low,Sleeping Dog
